Listener,Artist,Song,Album,Genre,Duration,Danceable,Energetic,Acoustic,Instrumental,Speechful,Liveness,Valence
Francis,Arca,Sin Rumbo,Arca,Art Pop,3:35,28,28,87,0,4,12,4
Francis,Caroline Polacheck,Smoke,"Desire, I Want To Turn Into You",Art Pop,2:57,66,66,13,1,5,14,42
Francis,Charli XCX,Speed Drive,Barbie The Album,Pop,1:57,65,88,0,9,8,9,79
Francis,Jessie Ware,Spotlight,What's Your Pleasure,Pop Soul,5:31,63,76,4,49,4,12,16
Francis,Bjork,Stonemilker,Vulnicura,Art Pop,6:49,12,25,13,1,4,10,5
Francis,Mili,String Theocracy,To Kill a Living Book -for Libaray Of Ruina-,Otacore,2:54,66,78,17,0,5,33,66
Francis,Caroline Polacheck,Sunset,"Desire, I Want To Turn Into You",Art Pop,2:42,64,75,61,0,6,26,70
Francis,SZA,Supermodel,Ctrl,RnB,3:01,61,44,65,0,29,26,25
Francis,Kylie Minogue,Supernova,DISCO,Dance Pop,3:17,57,93,0,17,8,39,56
Francis,Kim Petras,Sweet Spot,Clarity,Escape Room,3:14,65,76,2,0,4,24,34
Francis,Caroline Polacheck,The Gate - Extended Remix,The Gate - Extended Remix - Single,Art Pop,10:00,12,27,95,56,4,11,11
Francis,Jessie Ware,These Lips,That! Feels Good,Pop Soul,4:21,66,75,3,0,6,34,55
Francis,Kim Petras,Throat Goat,Slut Pop,Escape Room,2:20,92,71,0,2,13,6,96
Francis,Arca,Tierno,kiCK iiiii,Art Pop,3:44,32,17,95,2,11,10,11
Francis,Arca,Tiro,KICK ii,Deconstructed Club,2:18,75,86,13,0,7,25,79
Francis,Charli XCX,Track 10,Pop 2,Art Pop,5:26,64,65,21,0,4,8,27
Francis,Kim Petras,Treat Me Like A Slut,Slut Pop,Pop,1:58,91,70,0,0,13,10,57
Francis,Kim Petras,uhoh,Feed The Beast,Escape Room,2:50,85,89,2,0,24,10,79
Francis,Charli XCX,Unlock It (Lock It),Pop 2,Art Pop,3:52,50,71,6,0,5,38,50
Francis,Charli XCX,Used To Know Me,CRASH,Escape Room,2:15,71,93,9,0,3,9,78
Francis,Beyonce,VIRGO'S GROOVE,RENAISSANCE,RnB,6:08,68,85,8,0,70,74,60
Francis,Caroline Polacheck,Welcome To My Island,"Desire, I Want To Turn Into You",Art Pop,3:52,69,63,8,0,6,20,36
Francis,Troye Sivan,What's The Time Where You Are?,Something To Give Each Other,Pop,3:24,72,81,3,0,7,24,30
Francis,Arca,Whip,Arca,Intelligent Dance Music,1:20,56,57,9,66,50,34,15
Francis,Frums,XNOR XNOR XNOR,METACONTINUES,Intelligent Dance Music,9:16,36,84,2,58,11,13,10
Francis,Rina Sawayama,XS,SAWAYAMA,Pop,3:21,64,93,9,0,15,8,59
Francis,Rina Sawayama,Imagining,Hold The Girl,Pop,3:33,64,93,2,0,8,14,46
Francis,LSPLASH,Elevator Jam,Doors (Original Game Soundtrack) Vol. 1,Meme,0:39,63,74,89,90,6,9,98
Dweezil,Laufey,Dreamer,Bewitched,Jazz pop ballad,3:31,61,15,95,0,4,9,41
Dweezil,Laufey,Second Best,Bewitched,Jazz pop ballad,3:25,42,20,95,0,3,10,15
Dweezil,Laufey,Haunted,Bewitched,Jazz pop ballad,3:21,48,27,96,1,3,13,48
Dweezil,Laufey,Must Be Love,Bewitched,Jazz pop ballad,3:05,41,17,96,0,3,11,22
Dweezil,Laufey,While You Were Sleeping,Bewitched,Jazz pop ballad,2:57,30,33,93,0,3,29,40
Dweezil,Laufey,Lovesick,Bewitched,Jazz pop ballad,3:45,58,37,66,0,11,3,34
Dweezil,Laufey,California and Me (Philharmonia Orchestra),Bewitched,Jazz pop ballad,3:36,32,28,98,0,4,10,23
Dweezil,Laufey,Nocturne (Interlude),Bewitched,Jazz pop ballad,2:24,34,13,99,95,4,11,4
Dweezil,Laufey,Promise,Bewitched,Jazz pop ballad,3:54,26,11,94,0,3,6,9
Dweezil,Laufey,From The Start,Bewitched,Jazz pop ballad,2:50,66,41,88,0,8,11,74
Dweezil,Laufey,Misty,Bewitched,Jazz pop ballad,3:30,32,18,96,0,4,10,12
Dweezil,Laufey,Serendipity,Bewitched,Jazz pop ballad,3:40,39,12,98,0,4,12,22
Dweezil,Laufey,Letter To My 13 Year Old Self,Bewitched,Jazz pop ballad,4:23,52,14,97,0,10,3,24
Dweezil,Laufey,Bewitched,Bewitched,Jazz pop ballad,4:07,28,20,95,0,3,11,32
Dweezil,scarlxrd,BXILING PXINT,DXXM,Trap Metal,2:49,62,98,34,0,13,38,16
