Listener,Artist,Song,Album,Genre,Duration,Danceable,Energetic,Acoustic,Instrumental,Speechful,Liveness,Valence
Dweezil,Frank Sinatra,"Baby, Won't You Please Come Home",Where Are You?,Jazz,3:01,27,12,91,0,4,17,8
Dweezil,Ichiko Aoba,Prologue,Windswept Adan,Folk music,4:56,13,8,95,95,5,11,4
Dweezil,Ichiko Aoba,Pilgrimage,Windswept Adan,Folk music,3:49,51,34,94,84,3,7,22
Dweezil,Ichiko Aoba,Porcelain,Windswept Adan,Folk music,4:29,42,32,85,43,3,12,8
Dweezil,Ichiko Aoba,Horo,Windswept Adan,Folk music,1:58,30,2,97,30,4,45,21
Dweezil,Ichiko Aoba,Easter Lily,Windswept Adan,Folk music,3:16,36,12,98,85,3,11,5
Dweezil,Ichiko Aoba,Parfum d'etoiles,Windswept Adan,Folk music,2:53,44,7,94,95,4,4,19
Dweezil,Ichiko Aoba,Kirinaki Shima,Windswept Adan,Folk music,1:28,20,2,99,83,4,9,4
Dweezil,Ichiko Aoba,Sagu Palm's Song,Windswept Adan,Folk music,3:57,56,10,100,77,4,10,17
Dweezil,Ichiko Aoba,chinuhaji,Windswept Adan,Folk music,1:53,38,8,99,95,4,7,5
Dweezil,Ichiko Aoba,Chi no Kaze,Windswept Adan,Folk music,3:47,36,3,99,10,4,10,6
Dweezil,Ichiko Aoba,Hagupit,Windswept Adan,Folk music,2:59,25,5,99,0,4,11,7
Dweezil,Ichiko Aoba,Dawn in the Adan,Windswept Adan,Folk music,4:46,54,23,96,66,3,12,54
Dweezil,Ichiko Aoba,ohayashi,Windswept Adan,Folk music,3:45,27,41,97,88,5,8,4
Dweezil,Ichiko Aoba,Adan no Shima no Tanjyosai,Windswept Adan,Folk music,6:08,27,48,91,4,9,19,53
Dweezil,Ado,Readymade,Kyogen,J-Pop,4:03,49,87,3,0,14,26,58
Dweezil,Ado,Odo,Kyogen,J-Pop,3:30,71,96,15,0,11,62,77
Dweezil,Ado,Domestic De Violence,Kyogen,J-Pop,2:38,70,94,2,0,4,26,57
Dweezil,Ado,Freedom,Kyogen,J-Pop,3:06,60,89,0,0,6,7,68
Dweezil,Ado,Fireworks,Kyogen,J-Pop,3:32,68,72,25,0,20,7,71
Dweezil,Ado,Aitakute,Kyogen,J-Pop,4:55,49,83,10,0,4,36,37
Dweezil,Ado,Lucky Bruto,Kyogen,J-Pop,3:30,41,88,1,0,8,17,39
Dweezil,Ado,Gira Gira,Kyogen,J-Pop,4:36,66,86,5,0,5,9,72
Dweezil,Ado,Ashuran-chan,Kyogen,J-Pop,3:15,63,95,7,0,16,31,69
Dweezil,Ado,KokoroToluNanoFukakai,Kyogen,J-Pop,4:30,57,88,5,0,11,29,60
Dweezil,Ado,Ussewa,Kyogen,J-Pop,3:27,53,98,0,0,8,10,55
Dweezil,Ado,Motherland,Kyogen,J-Pop,4:20,77,70,2,0,5,7,66
Dweezil,Ado,Kagakushu,Kyogen,J-Pop,3:36,74,90,4,0,16,8,90
Dweezil,Ado,Yoru No Pierrot,Kyogen,J-Pop,3:21,64,82,3,0,18,30,70
Farhan,Sope,Song of Patroclus,"All Ways, Always",R&B,3:52,60,19,89,0,3,12,51
Farhan,Sope,All At Once,"All Ways, Always",R&B,3:55,59,20,77,0,3,12,26
Farhan,Keane,Somewhere Only We Know,Hopes and Fears,Alternative Rock,3:56,45,66,8,0,8,3,37
Farhan,The Neighbourhood,Sweater Weather,I Love You.,Alternative Rocl,4:00,61,81,5,2,3,10,40
Farhan,Keane,Everybody's Changing,Hopes and Fears,Alternative Rock,3:35,52,84,0,0,3,10,46
Farhan,Isak Danielson,Broken,Yours,Pop,3:36,43,64,45,0,6,11,10
